Sensitivity Direction Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Description,ZERO,GRPS,U_FUNN_PER,U_FUNN_OTH,U_FUNN_PER_WDC,U_FUNN_OTH_WDC,U_FUNN_PER_AKM,U_FUNN_OTH_AKM,U_21CENN,U_21CENO,U_4LIFE,U_4LIFE_ON,U_4LIFE_CB,U_4LIFE_CB_AKM,U_4LIFE_CB_WDC,U_4LIFEN,U_4LIFE_CBN,U_4LIFEN_WDC,U_4LIFEN_AKM,U_4LIFE_CBN_WDC,U_4LIFE_CBN_AKM,U_4LIFE_DM,U_4LIFE_WDC,U_4LIFE_AKM,U_4S_OTH_NL,U_4S_OTH_L,U_4S_PDM,U_4S_PDM_WDC,U_4S_PDM_AKM,U_4S_PER_NL,U_4S_PER_L,U_4S_PLN,U_4S_PLNN_LR_ON,U_4S_PLN_WDC,U_4S_PLN_AKM,U_CONVEN,U_CORN_P,U_CORN_S,U_DEF_LF,U_DIRMAR,U_DIRMAR_WDC,U_DIRMAR_AKM,U_DM_DIR,U_DM_DIR_WDC,U_DM_DIR_AKM,U_DM_DS,U_DM_DS_WDC,U_DM_DS_AKM,U_DM_MSA,U_DM_MSA_WDC,U_DM_MSA_AKM,U_DM_CCI,U_DM_CCI_WDC,U_DM_CCI_AKM,U_ON_IF,U_ON_IF_WDC,U_ON_IF_AKM,U_FAMFUN,U_FUN_B3,U_FUNOLD,U_FUNOLD_WDC,U_FUNOLD_AKM,U_FUNP10_NL,U_FUNP10_L,U_MAXVAL,U_OTRE_F,U_OUTREA,U_PRL_09_NL,U_PRL_09_L,U_PRL_AP,U_PRL_DM,U_PRLG,U_PRLG_WDC,U_PRLG_AKM,U_PRLG_WOPDIS,U_PRLG_WOPDIS_WDC,U_PRLG_WOPDIS_AKM,U_PROFUN,U_PROFUN_200,U_PROTRA_NL,U_PROTRA_L,SALA_DIR,U_UNIOLD,U_WLTHMK,UNINEW,UNINEW_WDC,UNNEW_WDC,UNINEW_AKM,GUAR_SP_L,GUAR_SP_NL,GUAR_SP_WDC,GUAR_SP_AKM,GI_SP_L,GI_SP_L_WDC,GI_SP_NL,GI_SP_NL_WDC,UNINEW_2007,UNINEW_2007_WDC,UNINEW_2007_AKM,WOP_IN_PMT,GRPS_WOP,MED_CP,U_APF,URI_4L,U_4LIFE_WLT,U_4S_PDM_WLT,U_4S_PER_NL_WLT,U_4S_PER_L_WLT,U_4S_PLN_WLT,U_APF_WLT,U_DM_CCI_WLT,U_DM_DIR_WLT,U_DM_DS_WLT,U_DIRMAR_WLT,U_FUNN_OTH_WLT,U_FUNN_PER_WLT,U_FUNOLD_WLT,GI_SP_L_WLT,GI_SP_NL_WLT,GUAR_SP_WLT,U_PRL_AP_WLT,U_PRLG_WLT,U_PRLG_WOPDIS_WLT,UNINEW_WLT,UNINEW_2007_WLT,URI_4L_WLT,UNNEW_WLT,URI_4L_WDC,URI_4L_AKM,U_MICRO_AMOG,U_MICRO_LAPP,U_MICRO_TSHI,U_MICRO_IMNK,U_PRL_AP_AKM,U_GROUPS_FULLOFF,U_GROUPS_OTHER
Description,Description,Zero,Group Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Linked Business,Linked Business,Linked Business,Linked Business,Linked Business,Linked Business,Linked Business,Non-Linked Business,Linked Business,Linked Business,Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Preservation Fund,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Preservation Fund,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Linked Business,Linked Business,Non-Linked Business,Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,Non-Linked Business,ProLeg Acc Plan,Non-Linked Business,Non-Linked Business
DIR_MORT_SENS,Mortality sensitivity direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DIR_ACC_DTH_SENS,Accidental death sensitivity direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DIR_MORB_YR1_SENS,Morbidity sensitivity applicable for the next year direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DIR_MORB_YR2_SENS,Morbidity sensitivity applicable after next year direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DIR_MED_SENS,Medical sensitivity direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DIR_LONG_SENS,Longevity sensitivity - relative decrease direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
DIR_LONG_ABS_SENS,Longevity sensitivity - absolute increase in mortality improvements direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
DIR_RETRENCH_SENS,Retrenchment sensitivity direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
DIR_MRT_REINS_SENS,Reinsurance risk rate (mortality) sensitivity direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
DIR_MRB_REINS_SENS,Reinsurance risk rate (morbidity) sensitivity direction,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
